unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date
65947080,2025-08-25T21:18:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:54:31.000
65951017,2025-08-25T21:17:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:14:52.000
65946673,2025-08-25T21:17:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:05:45.000
65952940,2025-08-25T21:17:44.000,NYPD,New York City Police Department,Blocked Driveway,No Access,In Progress,BROOKLYN,Street/Sidewalk,
65944352,2025-08-25T21:17:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,QUEENS,Street/Sidewalk,2025-08-26T01:03:16.000
65945222,2025-08-25T21:17:27.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,In Progress,BROOKLYN,Sidewalk,
65952744,2025-08-25T21:17:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,MANHATTAN,Residential Building/House,2025-08-25T21:38:16.000
65951312,2025-08-25T21:16:53.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:56:18.000
65946190,2025-08-25T21:16:52.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,In Progress,QUEENS,Store/Commercial,
65953167,2025-08-25T21:16:50.000,DOT,Department of Transportation,Street Condition,Cave-in,In Progress,BRONX,Street,
65949678,2025-08-25T21:16:49.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,In Progress,BRONX,Park,
65952399,2025-08-25T21:16:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T22:44:06.000
65947736,2025-08-25T21:16:43.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Waste Disposal,Closed,BROOKLYN,Sidewalk,2025-08-25T21:35:06.000
65951594,2025-08-25T21:16:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-26T00:33:02.000
65946866,2025-08-25T21:16:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:00:23.000
65947744,2025-08-25T21:16:00.000,DEP,Department of Environmental Protection,Noise,Noise: Manufacturing Noise (NK1),Open,QUEENS,,
65950876,2025-08-25T21:15:48.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,In Progress,QUEENS,Street,
65952944,2025-08-25T21:15:24.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,In Progress,BRONX,Street/Sidewalk,
65947050,2025-08-25T21:15:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-25T22:05:51.000
