unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date,year_month,date,year_month_str,quarter,year,month,day_of_week,hour,workload_flag,utilization_rate
65948155,2025-08-25 22:28:01,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Closed,QUEENS,Park/Playground,2025-08-25 22:41:00,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947011,2025-08-25 22:27:59,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,STATEN ISLAND,Residential Building/House,2025-08-25 22:52:59,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65946988,2025-08-25 22:27:49,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BROOKLYN,Residential Building/House,2025-08-25 23:33:40,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947642,2025-08-25 22:27:32,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,In Progress,BROOKLYN,Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65949755,2025-08-25 22:27:28,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,In Progress,BROOKLYN,Street,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0596
65947051,2025-08-25 22:27:15,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 22:46:50,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947078,2025-08-25 22:27:07,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-26 00:33:12,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948292,2025-08-25 22:27:02,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,MANHATTAN,Street/Sidewalk,2025-08-25 22:46:07,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949976,2025-08-25 22:26:57,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,In Progress,BROOKLYN,Street/Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950227,2025-08-25 22:26:55,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 00:26:37,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945827,2025-08-25 22:26:50,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BROOKLYN,Residential Building/House,2025-08-25 22:54:56,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945078,2025-08-25 22:26:34,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,In Progress,BROOKLYN,Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0726
65948727,2025-08-25 22:26:11,DSNY,Department of Sanitation,Dirty Condition,Trash,In Progress,BROOKLYN,Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65944582,2025-08-25 22:26:00,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,Open,BROOKLYN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0726
65949312,2025-08-25 22:26:00,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BROOKLYN,Residential Building/House,2025-08-25 23:01:48,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65952639,2025-08-25 22:26:00,DOT,Department of Transportation,Traffic Signal Condition,Controller,Assigned,MANHATTAN,,2025-08-26 00:15:00,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0726
65951560,2025-08-25 22:25:52,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-26 00:54:01,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944535,2025-08-25 22:25:46,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BRONX,Street/Sidewalk,2025-08-25 23:55:47,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65952800,2025-08-25 22:25:43,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 22:54:35,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948606,2025-08-25 22:25:39,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950130,2025-08-25 22:25:36,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,QUEENS,Street/Sidewalk,2025-08-25 22:43:00,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
